CN_cities,US_cities
Shanghai,"Norfolk, VA"
Beijing,"Amarillo, TX"
Tianjin,"Amarillo, TX"
Guangzhou,"Miami, FL"
Shenzhen,"Miami, FL"
Wuhan,"Norfolk, VA"
Chongqing,"Jacksonville, FL"
Nanjing,"Norfolk, VA"
Shenyang,"Sioux Falls, SD"
Hangzhou,"Norfolk, VA"
Harbin,"Sioux Falls, SD"
Shantou,"Omaha, NE"
Jinan,"Amarillo, TX"
Zhengzhou,"Tulsa, OK"
Changchun,"Sioux Falls, SD"
Dalian,"Omaha, NE"
Kunming,"Jacksonville, FL"
Qingdao,"Amarillo, TX"
Xiamen,"Jacksonville, FL"
Taiyuan,"Omaha, NE"
Tangshan,"Omaha, NE"
Hefei,"Norfolk, VA"
Changsha,"Memphis, TN"
Shijiazhuang,"Amarillo, TX"
Nanchang,"Memphis, TN"
Xinyang,"Norfolk, VA"
Yueyang,"Memphis, TN"
Fuzhou,"Jacksonville, FL"
Guiyang,"Richmond, VA"
Datong,"Omaha, NE"
Baoding,"Amarillo, TX"
Benxi,"Minneapolis, MN"
Qiqihar,"Sioux Falls, SD"
Nanning,"Jacksonville, FL"
Anyang,"Amarillo, TX"
Hohhot,"Omaha, NE"
Xining,"Sioux Falls, SD"
Zhumadian,"Oklahoma City, OK"
Zhangjiakou,"Omaha, NE"
Mudanjiang,"Sioux Falls, SD"
Guilin,"Memphis, TN"
Zhanjiang,"Miami, FL"
Dandong,"Minneapolis, MN"
Shaoguan,"Memphis, TN"
Haikou,"Miami, FL"
Xingtai,"Amarillo, TX"
Jinzhou,"Omaha, NE"
Yingkou,"Omaha, NE"
Bengbu,"Oklahoma City, OK"
Siping,"Sioux Falls, SD"
Neijiang,"Jacksonville, FL"
Changde,"Norfolk, VA"
Wuhu,"Norfolk, VA"
Qionghai,"Miami, FL"
Yichang,"Norfolk, VA"
Yinchuan,"Omaha, NE"
Jining,"Omaha, NE"
Chengde,"Omaha, NE"
Chaoyang,"Omaha, NE"
Jixi,"Sioux Falls, SD"
Yangjiang,"Miami, FL"
Weifang,"Amarillo, TX"
Anqing,"Norfolk, VA"
Chifeng,"Omaha, NE"
Yanji,"Sioux Falls, SD"
Jingdezhen,"Memphis, TN"
Beihai,"Miami, FL"
Wuzhou,"New Orleans, LA"
Mianyang,"Norfolk, VA"
Tongliao,"Omaha, NE"
Karamay,"Sioux Falls, SD"
Turpan,"Albuquerque, NM"
Laohekou,"Tulsa, OK"
Nanyang,"Oklahoma City, OK"
Rizhao,"Kansas City, MO"
Ji'an,"Minneapolis, MN"
Yibin,"Jacksonville, FL"
Hailar,"Sioux Falls, SD"
Gaoping,"Norfolk, VA"
Yuncheng,"Amarillo, TX"
Zaoyang,"Tulsa, OK"
Anda,"Sioux Falls, SD"
Korla,"Omaha, NE"
Chenzhou,"Memphis, TN"
Jingzhou,"Durham, NC"
Nanping,"New Orleans, LA"
Fuyang,"Oklahoma City, OK"
Shanwei,"Miami, FL"
Anbu,"Sioux Falls, SD"
Yichun,"Sioux Falls, SD"
Qingyuan,"Sioux Falls, SD"
Dunhua,"Sioux Falls, SD"
Yulin,"Omaha, NE"
Hanzhong,"Norfolk, VA"
Sanya,"Miami, FL"
Acheng,"Norfolk, VA"
Altay,"Sioux Falls, SD"
Huadian,"Minneapolis, MN"
Fuyu,"Sioux Falls, SD"
Hami,"Omaha, NE"
Dali,"Omaha, NE"
Ankang,"Oklahoma City, OK"
Wuda,"Sioux Falls, SD"
Xichang,"Jacksonville, FL"
Macheng,"Norfolk, VA"
Yushu,"Sioux Falls, SD"
Baoshan,"Jacksonville, FL"
Xilin Hot,"Sioux Falls, SD"
Lhasa,"Amarillo, TX"
Hotan,"Albuquerque, NM"
Maba,"Miami, FL"
Shaowu,"Memphis, TN"
Dongtai,"Norfolk, VA"
Hailun,"Sioux Falls, SD"
